site,x,y,coast,north,year,rec.period,rec.period2,night,species,obs,obs.min
2,347000,6704000,40.326013770079946,49.76340981801138,2020,15,6,2020-08-09,EPTNIL,NA,NA
2,347000,6704000,40.326013770079946,49.76340981801138,2020,15,6,2020-08-10,EPTNIL,NA,NA
2,347000,6704000,40.326013770079946,49.76340981801138,2020,16,7,2020-08-23,EPTNIL,NA,NA
2,347000,6704000,40.326013770079946,49.76340981801138,2020,16,7,2020-08-24,EPTNIL,NA,NA
2,347000,6704000,40.326013770079946,49.76340981801138,2020,17,8,2020-09-06,EPTNIL,NA,NA
2,347000,6704000,40.326013770079946,49.76340981801138,2020,17,8,2020-09-07,EPTNIL,NA,NA
2,347000,6704000,40.326013770079946,49.76340981801138,2020,18,9,2020-09-20,EPTNIL,NA,NA
2,347000,6704000,40.326013770079946,49.76340981801138,2020,18,9,2020-09-21,EPTNIL,NA,NA
2,347000,6704000,40.326013770079946,49.76340981801138,2019,1,1,2019-05-31,PIPNAT,0,0
2,347000,6704000,40.326013770079946,49.76340981801138,2019,1,1,2019-06-01,PIPNAT,0,0
2,347000,6704000,40.326013770079946,49.76340981801138,2019,2,2,2019-06-14,PIPNAT,0,0
2,347000,6704000,40.326013770079946,49.76340981801138,2019,2,2,2019-06-15,PIPNAT,0,0
2,347000,6704000,40.326013770079946,49.76340981801138,2019,3,3,2019-06-28,PIPNAT,0,0
2,347000,6704000,40.326013770079946,49.76340981801138,2019,3,3,2019-06-29,PIPNAT,0,0
2,347000,6704000,40.326013770079946,49.76340981801138,2019,4,4,2019-07-12,PIPNAT,0,0
2,347000,6704000,40.326013770079946,49.76340981801138,2019,4,4,2019-07-13,PIPNAT,0,0
2,347000,6704000,40.326013770079946,49.76340981801138,2019,5,5,2019-07-26,PIPNAT,0,0
2,347000,6704000,40.326013770079946,49.76340981801138,2019,5,5,2019-07-27,PIPNAT,0,0
2,347000,6704000,40.326013770079946,49.76340981801138,2019,6,6,2019-08-09,PIPNAT,0,0
2,347000,6704000,40.326013770079946,49.76340981801138,2019,6,6,2019-08-10,PIPNAT,0,0
2,347000,6704000,40.326013770079946,49.76340981801138,2019,7,7,2019-08-23,PIPNAT,0,0
2,347000,6704000,40.326013770079946,49.76340981801138,2019,7,7,2019-08-24,PIPNAT,0,0
2,347000,6704000,40.326013770079946,49.76340981801138,2019,8,8,2019-09-06,PIPNAT,0,0
2,347000,6704000,40.326013770079946,49.76340981801138,2019,8,8,2019-09-07,PIPNAT,0,0
2,347000,6704000,40.326013770079946,49.76340981801138,2019,9,9,2019-09-20,PIPNAT,0,0
2,347000,6704000,40.326013770079946,49.76340981801138,2019,9,9,2019-09-21,PIPNAT,0,0
